DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
04/15/2023,01:00,AEEC, -2.03,N
04/15/2023,01:00,AGUAYO_UNIT1, 16.41,N
04/15/2023,01:00,AJAXWIND_RN, 11.05,N
04/15/2023,01:00,ALGOD_ALL_RN, 16.45,N
04/15/2023,01:00,ALVIN_RN, 18.64,N
04/15/2023,01:00,AMADEUS_ALL, 13.68,N
04/15/2023,01:00,AMISTAD_ALL, 28.8,N
04/15/2023,01:00,AMOCOOIL_CC1, 18.64,N
04/15/2023,01:00,AMOCOOIL_CC2, 18.64,N
04/15/2023,01:00,AMOCO_PUN1, 18.64,N
04/15/2023,01:00,AMOCO_PUN2, 18.64,N
04/15/2023,01:00,AMO_AMOCO_1, 18.64,N
04/15/2023,01:00,AMO_AMOCO_2, 18.64,N
04/15/2023,01:00,AMO_AMOCO_5, 18.64,N
04/15/2023,01:00,AMO_AMOCO_G1, 18.64,N
04/15/2023,01:00,AMO_AMOCO_G2, 18.64,N
04/15/2023,01:00,AMO_AMOCO_G3, 18.64,N
04/15/2023,01:00,AMO_AMOCO_S1, 18.64,N
04/15/2023,01:00,AMO_AMOCO_S2, 18.64,N
04/15/2023,01:00,ANACACHO_ANA, 21.52,N
04/15/2023,01:00,ANCHOR_ALL, 16.53,N
04/15/2023,01:00,ANDMDSLR_ALL, 14.11,N
04/15/2023,01:00,ANSON1_ALL, 15.81,N
04/15/2023,01:00,APPALOSA_ALL, 56.2,N
04/15/2023,01:00,AQUI_ALL, 17.42,N
04/15/2023,01:00,ARAGORN_RN, 55.23,N
04/15/2023,01:00,ASTRA_RN, 4.68,N
04/15/2023,01:00,ATK_ATKINSG7, 18.62,N
04/15/2023,01:00,AUSTPL_ALL, 17.75,N
04/15/2023,01:00,AVIAT_ALL, 16.7,N
04/15/2023,01:00,AZURE_RN, 13.32,N
04/15/2023,01:00,AZ_ALL, 18.61,N
04/15/2023,01:00,BAC_RN_ALL, 18.64,N
04/15/2023,01:00,BAFFIN_ALL, 16.12,N
04/15/2023,01:00,BAIRDWND_ALL, 15.65,N
