DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
06/03/2024,01:00,7RNCHSLR_ALL, 16.47,N
06/03/2024,01:00,ADL_RN, 16.18,N
06/03/2024,01:00,AEEC, 11.43,N
06/03/2024,01:00,AGUAYO_UNIT1, 12.77,N
06/03/2024,01:00,AJAXWIND_RN, 12.51,N
06/03/2024,01:00,ALGOD_ALL_RN, 14.74,N
06/03/2024,01:00,ALP_BESS_RN, 21.47,N
06/03/2024,01:00,ALVIN_RN, 16.18,N
06/03/2024,01:00,AMADEUS_ALL, 12.42,N
06/03/2024,01:00,AMISTAD_ALL, 19.93,N
06/03/2024,01:00,AMOCOOIL_CC1, 16.18,N
06/03/2024,01:00,AMOCOOIL_CC2, 16.18,N
06/03/2024,01:00,AMOCO_PUN1, 16.18,N
06/03/2024,01:00,AMOCO_PUN2, 16.18,N
06/03/2024,01:00,AMO_AMOCO_1, 16.18,N
06/03/2024,01:00,AMO_AMOCO_2, 16.18,N
06/03/2024,01:00,AMO_AMOCO_5, 16.18,N
06/03/2024,01:00,AMO_AMOCO_G1, 16.18,N
06/03/2024,01:00,AMO_AMOCO_G2, 16.18,N
06/03/2024,01:00,AMO_AMOCO_G3, 16.18,N
06/03/2024,01:00,AMO_AMOCO_S1, 16.18,N
06/03/2024,01:00,AMO_AMOCO_S2, 16.18,N
06/03/2024,01:00,ANACACHO_ANA, 19.32,N
06/03/2024,01:00,ANCHOR_ALL, 12.53,N
06/03/2024,01:00,ANDMDSLR_ALL, 12.42,N
06/03/2024,01:00,ANEM_ESS_RN, -12.57,N
06/03/2024,01:00,ANG_ALL, 14.01,N
06/03/2024,01:00,ANSON1_ALL, 12.45,N
06/03/2024,01:00,APPALOSA_ALL, 16.36,N
06/03/2024,01:00,AQUI_ALL, 16.04,N
06/03/2024,01:00,ARAGORN_RN, 21.89,N
06/03/2024,01:00,ASTRA_RN, 6.25,N
06/03/2024,01:00,ATK_ATKINSG7, 16.15,N
06/03/2024,01:00,AURO_SLR_RN, 16.25,N
06/03/2024,01:00,AUSTPL_ALL, 16.44,N
06/03/2024,01:00,AVIAT_ALL, 13.61,N
06/03/2024,01:00,AZURE_RN, 12.43,N
06/03/2024,01:00,AZ_ALL, 16.18,N
06/03/2024,01:00,BAC_RN_ALL, 16.18,N
06/03/2024,01:00,BAFFIN_ALL, 9.32,N
06/03/2024,01:00,BAIRDWND_ALL, 12.49,N
06/03/2024,01:00,BAKE_RN_ALL, 15.95,N
06/03/2024,01:00,BARROW_ALL, 17.07,N
06/03/2024,01:00,BASTEN_CC1, 16.46,N
06/03/2024,01:00,BASTEN_CCU, 16.46,N
06/03/2024,01:00,BATCAVE_RN, 16.7,N
06/03/2024,01:00,BAYC_BESS_RN, 16.41,N
06/03/2024,01:00,BBREEZE_1_2, 5.96,N
06/03/2024,01:00,BCATWD_WD_1, 12.9,N
06/03/2024,01:00,BCH_RN, 16.2,N
06/03/2024,01:00,BCK_RN, 16.19,N
06/03/2024,01:00,BELM_SLR_RN, 16.16,N
06/03/2024,01:00,BIGSTAR_ALL, 16.46,N
06/03/2024,01:00,BLACKJAK_RN, 14.95,N
06/03/2024,01:00,BLSMT1_5_A_6, 12.36,N
06/03/2024,01:00,BLUEJAY_RN, 16.15,N
06/03/2024,01:00,BOARDCRK_ALL, 16.06,N
06/03/2024,01:00,BOCO_ESS_RN, 11.75,N
06/03/2024,01:00,BONETSLR_RN, 16.14,N
06/03/2024,01:00,BOOTLEG_UN1, 16.83,N
06/03/2024,01:00,BORDAS_345, -13.37,N
06/03/2024,01:00,BOSQUESW_CC1, 15.95,N
06/03/2024,01:00,BOSQUESW_CC2, 16.01,N
06/03/2024,01:00,BOSQ_BSQSU_5, 16.01,N
06/03/2024,01:00,BOSQ_BSQS_12, 16.01,N
06/03/2024,01:00,BOSQ_BSQS_34, 15.95,N
06/03/2024,01:00,BRANDON_RN, 11.71,N
06/03/2024,01:00,BRAUNIG_CC1, 16.73,N
06/03/2024,01:00,BRAUNIG_VHB1, 16.81,N
06/03/2024,01:00,BRAUNIG_VHB2, 16.81,N
06/03/2024,01:00,BRAUNIG_VHB3, 16.84,N
06/03/2024,01:00,BRAZ_WND_ALL, 12.8,N
06/03/2024,01:00,BRA_AVR1_CT2, 16.73,N
06/03/2024,01:00,BRA_AVR_CST1, 16.73,N
06/03/2024,01:00,BRHEIGHT_RN, 16.18,N
06/03/2024,01:00,BRIGHTSD_RN, 17.14,N
06/03/2024,01:00,BRIGHTSD_U1, 17.06,N
06/03/2024,01:00,BRISCOE_WIND, 6.36,N
06/03/2024,01:00,BRPANGLE_RN, 16.21,N
06/03/2024,01:00,BRPMAGNO_RN, 16.18,N
06/03/2024,01:00,BRP_BRAZ_RN, 16.21,N
06/03/2024,01:00,BRP_DIKN_RN, 16.18,N
06/03/2024,01:00,BRP_LOOP_RN, 17,N
06/03/2024,01:00,BRP_LOP1_RN, 14.53,N
06/03/2024,01:00,BRP_PBL1_RN, 20.53,N
06/03/2024,01:00,BRP_PBL2_RN, 20.53,N
06/03/2024,01:00,BRP_RN_UNIT1, 16.86,N
06/03/2024,01:00,BRP_SEMI_RN, 16.18,N
06/03/2024,01:00,BRP_SWNY_RN, 16.21,N
06/03/2024,01:00,BRP_ZPT1_RN, 12.31,N
06/03/2024,01:00,BRP_ZPT2_RN, 12.31,N
06/03/2024,01:00,BRTSW_BCW1, 14.39,N
06/03/2024,01:00,BR_ARROW_ALL, 15.96,N
06/03/2024,01:00,BR_VHB6CT5_6, 16.81,N
06/03/2024,01:00,BR_VHB6CT7_8, 16.81,N
06/03/2024,01:00,BSS_U1, 16.21,N
06/03/2024,01:00,BTE_BTE_G1, 16.18,N
06/03/2024,01:00,BTE_BTE_G2, 16.18,N
06/03/2024,01:00,BTE_BTE_G3, 16.18,N
06/03/2024,01:00,BTE_BTE_G4, 16.18,N
06/03/2024,01:00,BTE_CC1, 16.18,N
06/03/2024,01:00,BTE_PUN1, 16.18,N
06/03/2024,01:00,BTE_PUN2, 16.18,N
06/03/2024,01:00,BTM_ALL, 16.2,N
06/03/2024,01:00,BUCHAN_ALL, 16.35,N
06/03/2024,01:00,BUCKTHRN_RN, 15.04,N
06/03/2024,01:00,BUFF_GAP_ALL, 12.55,N
06/03/2024,01:00,BULLCRK_1_2, 12.29,N
06/03/2024,01:00,BVE_CC1, 16.19,N
06/03/2024,01:00,BVE_UNIT1, 16.19,N
06/03/2024,01:00,BVE_UNIT2, 16.19,N
06/03/2024,01:00,BVE_UNIT3, 16.19,N
06/03/2024,01:00,BYRDR_ES_ALL, 16.21,N
06/03/2024,01:00,BYU_BYU_1, 16.18,N
06/03/2024,01:00,BYU_BYU_12, 16.18,N
06/03/2024,01:00,BYU_BYU_34, 16.18,N
06/03/2024,01:00,BYU_BYU_G8, 16.18,N
06/03/2024,01:00,BYU_CC1, 16.18,N
06/03/2024,01:00,BYU_G4_RN, 16.18,N
06/03/2024,01:00,BYU_PUN1, 16.18,N
06/03/2024,01:00,BYU_PUN2, 16.18,N
06/03/2024,01:00,BYU_PUN3, 16.18,N
06/03/2024,01:00,BYU_PUN4, 16.18,N
06/03/2024,01:00,B_DAVIS_3, 14.64,N
06/03/2024,01:00,B_DAVIS_4, 14.64,N
06/03/2024,01:00,B_DAVIS_CC1, 14.64,N
06/03/2024,01:00,B_D_B_DAVIG1, 14.64,N
06/03/2024,01:00,B_D_B_DAVIG2, 14.64,N
06/03/2024,01:00,CABEZON_ALL, -12.93,N
06/03/2024,01:00,CALAVER_JKS1, 16.66,N
06/03/2024,01:00,CALAVER_JKS2, 16.66,N
06/03/2024,01:00,CALAVER_JTD1, 16.81,N
06/03/2024,01:00,CALAVER_JTD2, 16.81,N
06/03/2024,01:00,CALAVER_OWS1, 16.81,N
06/03/2024,01:00,CALAVER_OWS2, 16.81,N
06/03/2024,01:00,CALHOUN_ALL, 17.11,N
06/03/2024,01:00,CALLAHA_WND1, 12.53,N
06/03/2024,01:00,CAL_CALGT1, 16.18,N
06/03/2024,01:00,CAL_CALSTG1, 16.18,N
06/03/2024,01:00,CAL_CC1, 16.18,N
06/03/2024,01:00,CAL_PUN1, 16.18,N
06/03/2024,01:00,CAL_PUN2, 16.18,N
06/03/2024,01:00,CAMWIND_RN, 4.58,N
06/03/2024,01:00,CANYONWD_ALL, 12.43,N
06/03/2024,01:00,CAPRIDG4_CR4, 13.61,N
06/03/2024,01:00,CAPRIDGE_ALL, 13.61,N
06/03/2024,01:00,CARBN_BSP_1, 16.84,N
06/03/2024,01:00,CASL_GAP_UN1, 16.2,N
06/03/2024,01:00,CATARINA_B1, 22.37,N
06/03/2024,01:00,CBECII_89, 16.19,N
06/03/2024,01:00,CBECII_CC3, 16.19,N
06/03/2024,01:00,CBECII_CT7, 16.19,N
06/03/2024,01:00,CBEC_ALL, 16.28,N
06/03/2024,01:00,CBEC_CC1, 16.28,N
06/03/2024,01:00,CBEC_CC2, 16.28,N
06/03/2024,01:00,CBY4_ALL, 16.18,N
06/03/2024,01:00,CBY4_CC1, 16.18,N
06/03/2024,01:00,CBY_CBY_G1, 16.18,N
