DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
01/23/2023,01:00,AEEC, 22.78,N
01/23/2023,01:00,AGUAYO_UNIT1, 23.11,N
01/23/2023,01:00,AJAXWIND_RN, 23.1,N
01/23/2023,01:00,ALGOD_ALL_RN, 16.37,N
01/23/2023,01:00,ALVIN_RN, 22.6,N
01/23/2023,01:00,AMADEUS_ALL, 23.11,N
01/23/2023,01:00,AMISTAD_ALL, 29.74,N
01/23/2023,01:00,AMOCOOIL_CC1, 22.59,N
01/23/2023,01:00,AMOCOOIL_CC2, 22.59,N
01/23/2023,01:00,AMOCO_PUN1, 22.59,N
01/23/2023,01:00,AMOCO_PUN2, 22.59,N
01/23/2023,01:00,AMO_AMOCO_1, 22.59,N
01/23/2023,01:00,AMO_AMOCO_2, 22.59,N
01/23/2023,01:00,AMO_AMOCO_5, 22.59,N
01/23/2023,01:00,AMO_AMOCO_G1, 22.59,N
01/23/2023,01:00,AMO_AMOCO_G2, 22.59,N
01/23/2023,01:00,AMO_AMOCO_G3, 22.59,N
01/23/2023,01:00,AMO_AMOCO_S1, 22.59,N
01/23/2023,01:00,AMO_AMOCO_S2, 22.59,N
01/23/2023,01:00,ANACACHO_ANA, 27.46,N
01/23/2023,01:00,ANCHOR_ALL, 23.12,N
01/23/2023,01:00,ANDMDSLR_ALL, 23.17,N
01/23/2023,01:00,ANSON1_ALL, 23.18,N
01/23/2023,01:00,APPALOSA_ALL, 27.53,N
01/23/2023,01:00,AQUI_ALL, 23.1,N
01/23/2023,01:00,ARAGORN_RN, 27.92,N
01/23/2023,01:00,ASTRA_RN, 22.91,N
01/23/2023,01:00,ATK_ATKINSG7, 22.94,N
01/23/2023,01:00,AUSTPL_ALL, 23.15,N
01/23/2023,01:00,AVIAT_ALL, 22.88,N
01/23/2023,01:00,AZURE_RN, 23.11,N
01/23/2023,01:00,AZ_ALL, 23.41,N
01/23/2023,01:00,BAC_RN_ALL, 22.59,N
01/23/2023,01:00,BAFFIN_ALL, 13.88,N
01/23/2023,01:00,BAIRDWND_ALL, 23.14,N
01/23/2023,01:00,BARROW_ALL, 28.58,N
01/23/2023,01:00,BASTEN_CC1, 23.16,N
01/23/2023,01:00,BASTEN_CCU, 23.16,N
01/23/2023,01:00,BATCAVE_RN, 23.34,N
01/23/2023,01:00,BBREEZE_1_2, 12.48,N
01/23/2023,01:00,BCATWD_WD_1, 23.12,N
01/23/2023,01:00,BCH_RN, 22.59,N
01/23/2023,01:00,BCK_RN, 22.57,N
01/23/2023,01:00,BIGSTAR_ALL, 23.13,N
01/23/2023,01:00,BLACKJAK_RN, 17.18,N
01/23/2023,01:00,BLSMT1_5_A_6, 23.06,N
01/23/2023,01:00,BLUEJAY_RN, 22.93,N
01/23/2023,01:00,BOARDCRK_ALL, 23.09,N
01/23/2023,01:00,BOOTLEG_UN1, 27.38,N
01/23/2023,01:00,BORDAS_345, -14.86,N
01/23/2023,01:00,BOSQUESW_CC1, 23.1,N
01/23/2023,01:00,BOSQUESW_CC2, 23.1,N
01/23/2023,01:00,BOSQ_BSQSU_5, 23.1,N
01/23/2023,01:00,BOSQ_BSQS_12, 23.1,N
01/23/2023,01:00,BOSQ_BSQS_34, 23.1,N
01/23/2023,01:00,BRANDON_RN, 22.86,N
01/23/2023,01:00,BRAUNIG_CC1, 23.57,N
01/23/2023,01:00,BRAUNIG_VHB1, 23.5,N
01/23/2023,01:00,BRAUNIG_VHB2, 23.5,N
01/23/2023,01:00,BRAUNIG_VHB3, 23.68,N
01/23/2023,01:00,BRAZ_WND_ALL, 22.6,N
01/23/2023,01:00,BRA_AVR1_CT2, 23.57,N
01/23/2023,01:00,BRA_AVR_CST1, 23.57,N
01/23/2023,01:00,BRHEIGHT_RN, 22.59,N
01/23/2023,01:00,BRIGHTSD_RN, 20.67,N
01/23/2023,01:00,BRIGHTSD_U1, 20.67,N
01/23/2023,01:00,BRISCOE_WIND, 22.95,N
01/23/2023,01:00,BRPANGLE_RN, 22.64,N
01/23/2023,01:00,BRPMAGNO_RN, 22.59,N
01/23/2023,01:00,BRP_BRAZ_RN, 22.64,N
01/23/2023,01:00,BRP_DIKN_RN, 22.59,N
01/23/2023,01:00,BRP_LOOP_RN, 23.59,N
01/23/2023,01:00,BRP_LOP1_RN, 7.8,N
01/23/2023,01:00,BRP_PBL1_RN, 39.41,N
01/23/2023,01:00,BRP_PBL2_RN, 39.4,N
01/23/2023,01:00,BRP_RN_UNIT1, 23.56,N
01/23/2023,01:00,BRP_SEMI_RN, 22.6,N
01/23/2023,01:00,BRP_SWNY_RN, 22.64,N
01/23/2023,01:00,BRP_ZPT1_RN, 10.17,N
01/23/2023,01:00,BRP_ZPT2_RN, 10.17,N
01/23/2023,01:00,BRTSW_BCW1, 23.12,N
01/23/2023,01:00,BR_ARROW_ALL, 23.1,N
01/23/2023,01:00,BR_VHB6CT5_6, 23.5,N
01/23/2023,01:00,BR_VHB6CT7_8, 23.5,N
01/23/2023,01:00,BSS_U1, 22.65,N
01/23/2023,01:00,BTE_BTE_G1, 22.94,N
01/23/2023,01:00,BTE_BTE_G2, 22.94,N
01/23/2023,01:00,BTE_BTE_G3, 22.94,N
01/23/2023,01:00,BTE_BTE_G4, 22.94,N
01/23/2023,01:00,BTE_CC1, 22.94,N
01/23/2023,01:00,BTE_PUN1, 22.94,N
01/23/2023,01:00,BTE_PUN2, 22.94,N
01/23/2023,01:00,BUCHAN_ALL, 23.28,N
01/23/2023,01:00,BUCKTHRN_RN, 23.11,N
01/23/2023,01:00,BUFF_GAP_ALL, 23.33,N
01/23/2023,01:00,BULLCRK_1_2, 23.23,N
01/23/2023,01:00,BVE_CC1, 22.61,N
01/23/2023,01:00,BVE_UNIT1, 22.61,N
01/23/2023,01:00,BVE_UNIT2, 22.61,N
01/23/2023,01:00,BVE_UNIT3, 22.61,N
01/23/2023,01:00,BYRDR_ES_ALL, 22.64,N
01/23/2023,01:00,BYU_BYU_1, 22.77,N
01/23/2023,01:00,BYU_BYU_12, 22.77,N
01/23/2023,01:00,BYU_BYU_34, 22.77,N
01/23/2023,01:00,BYU_BYU_G8, 22.76,N
01/23/2023,01:00,BYU_CC1, 22.77,N
01/23/2023,01:00,BYU_PUN1, 22.77,N
01/23/2023,01:00,BYU_PUN2, 22.77,N
01/23/2023,01:00,BYU_PUN3, 22.77,N
01/23/2023,01:00,BYU_PUN4, 22.77,N
01/23/2023,01:00,B_DAVIS_3, 14.43,N
01/23/2023,01:00,B_DAVIS_4, 14.43,N
01/23/2023,01:00,B_DAVIS_CC1, 14.43,N
01/23/2023,01:00,B_D_B_DAVIG1, 14.43,N
01/23/2023,01:00,B_D_B_DAVIG2, 14.43,N
01/23/2023,01:00,CABEZON_ALL, -14.71,N
01/23/2023,01:00,CALAVER_JKS1, 23.58,N
01/23/2023,01:00,CALAVER_JKS2, 23.58,N
01/23/2023,01:00,CALAVER_JTD1, 23.61,N
01/23/2023,01:00,CALAVER_JTD2, 23.61,N
01/23/2023,01:00,CALAVER_OWS1, 23.54,N
01/23/2023,01:00,CALAVER_OWS2, 23.54,N
01/23/2023,01:00,CALHOUN_ALL, 26.52,N
01/23/2023,01:00,CALLAHA_WND1, 23.19,N
01/23/2023,01:00,CAL_CALGT1, 23.62,N
01/23/2023,01:00,CAL_CALSTG1, 23.62,N
