Time (Hour-Ending),Date,ERCOT.LOAD,ERCOT.WIND.GEN,"Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",Wind 1-hr MW change,Wind 1-hr % change
2022-01-01 01:00:00,2022-01-01 00:00:00,38124.26197482639,12067.479496527778,34173,31.653017977098113,35.31290637792344,,
2022-01-01 02:00:00,2022-01-01 00:00:00,37122.946803385414,12884.367833387587,34173,34.70728738649756,37.70335596344361,816.888336859809,6.769336853606052
2022-01-01 03:00:00,2022-01-01 00:00:00,35936.74794921875,14366.542967664931,34173,39.97730397855116,42.04062554550356,1482.1751342773441,11.503669822562395
2022-01-01 04:00:00,2022-01-01 00:00:00,35132.555947265624,16463.459644097224,34173,46.860978941609226,48.17680520907507,2096.9166764322927,14.595833396745936
2022-01-01 05:00:00,2022-01-01 00:00:00,34602.74180989584,18337.533838975694,34173,52.99445327113197,53.66088385267812,1874.0741948784707,11.38323435894835
2022-01-01 06:00:00,2022-01-01 00:00:00,34450.63030598958,18162.718782552085,34173,52.72100574425287,53.14932485456965,-174.81505642360935,-0.9533182485643021
2022-01-01 07:00:00,2022-01-01 00:00:00,34571.19724609375,18538.675991210937,34173,53.62462821071564,54.24948348465437,375.9572086588523,2.069939050204386
2022-01-01 08:00:00,2022-01-01 00:00:00,34634.72380208333,18307.12118706597,34173,52.85770803797999,53.57188770978835,-231.5548041449656,-1.2490363618995455
2022-01-01 09:00:00,2022-01-01 00:00:00,35603.62900390625,17299.905208333334,34173,48.59028613750378,50.62448485158849,-1007.2159787326382,-5.501771515251884
2022-01-01 10:00:00,2022-01-01 00:00:00,37914.26169921875,16916.197105034724,34173,44.61697616383572,49.50164488056279,-383.7081032986098,-2.2179780679594607
2022-01-01 11:00:00,2022-01-01 00:00:00,39986.40915690104,17691.091516927085,34173,44.242761202962065,51.76920819631605,774.894411892361,4.5807837723865905
2022-01-01 12:00:00,2022-01-01 00:00:00,41833.35782118056,17781.836091579862,34173,42.50635621359751,52.03475285043707,90.74457465277737,0.5129393772337433
2022-01-01 13:00:00,2022-01-01 00:00:00,43161.85118055555,16339.795750868056,34173,37.857031855550126,47.81492918639878,-1442.0403407118065,-8.109625649933013
2022-01-01 14:00:00,2022-01-01 00:00:00,44005.55006293403,14858.476000434028,34173,33.765004594157666,43.4801627028181,-1481.3197504340278,-9.065717668810715
2022-01-01 15:00:00,2022-01-01 00:00:00,44248.12307725695,14037.265636935765,34173,31.72397982266228,41.07706562764687,-821.2103634982632,-5.526881515131666
2022-01-01 16:00:00,2022-01-01 00:00:00,44207.623667534725,14345.015613064235,34173,32.449189580843615,41.97763033115101,307.74997612847073,2.19237837402392
2022-01-01 17:00:00,2022-01-01 00:00:00,44336.692938368054,16891.149182942707,34173,38.0974494566451,49.42834747590995,2546.1335698784715,17.749256177592912
2022-01-01 18:00:00,2022-01-01 00:00:00,44981.35093098958,18793.788648003472,34173,41.78128993243648,54.99601629357526,1902.6394650607654,11.264120898192761
