DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
10/16/2023,01:00,AEEC, 24.62,N
10/16/2023,01:00,AGUAYO_UNIT1, 22.88,N
10/16/2023,01:00,AJAXWIND_RN, 22.24,N
10/16/2023,01:00,ALGOD_ALL_RN, 24.23,N
10/16/2023,01:00,ALVIN_RN, 24.15,N
10/16/2023,01:00,AMADEUS_ALL, 22.32,N
10/16/2023,01:00,AMISTAD_ALL, 70.3,N
10/16/2023,01:00,AMOCOOIL_CC1, 24.16,N
10/16/2023,01:00,AMOCOOIL_CC2, 24.16,N
10/16/2023,01:00,AMOCO_PUN1, 24.16,N
10/16/2023,01:00,AMOCO_PUN2, 24.16,N
10/16/2023,01:00,AMO_AMOCO_1, 24.16,N
10/16/2023,01:00,AMO_AMOCO_2, 24.16,N
10/16/2023,01:00,AMO_AMOCO_5, 24.16,N
10/16/2023,01:00,AMO_AMOCO_G1, 24.16,N
10/16/2023,01:00,AMO_AMOCO_G2, 24.16,N
10/16/2023,01:00,AMO_AMOCO_G3, 24.16,N
10/16/2023,01:00,AMO_AMOCO_S1, 24.16,N
10/16/2023,01:00,AMO_AMOCO_S2, 24.16,N
10/16/2023,01:00,ANACACHO_ANA, 55.36,N
10/16/2023,01:00,ANCHOR_ALL, 22.34,N
10/16/2023,01:00,ANDMDSLR_ALL, 22.39,N
10/16/2023,01:00,ANSON1_ALL, 21.61,N
10/16/2023,01:00,APPALOSA_ALL, 130.61,N
10/16/2023,01:00,AQUI_ALL, 22.7,N
10/16/2023,01:00,ARAGORN_RN, 56.7,N
10/16/2023,01:00,ASTRA_RN, 23.51,N
10/16/2023,01:00,ATK_ATKINSG7, 23.5,N
10/16/2023,01:00,AUSTPL_ALL, 24.69,N
10/16/2023,01:00,AVIAT_ALL, 33.61,N
10/16/2023,01:00,AZURE_RN, 22.26,N
10/16/2023,01:00,AZ_ALL, 24.08,N
10/16/2023,01:00,BAC_RN_ALL, 24.16,N
10/16/2023,01:00,BAFFIN_ALL, 22.85,N
10/16/2023,01:00,BAIRDWND_ALL, 22.15,N
10/16/2023,01:00,BARROW_ALL, 53.23,N
10/16/2023,01:00,BASTEN_CC1, 24.7,N
10/16/2023,01:00,BASTEN_CCU, 24.7,N
10/16/2023,01:00,BATCAVE_RN, 25.49,N
10/16/2023,01:00,BAYC_BESS_RN, 43.95,N
10/16/2023,01:00,BBREEZE_1_2, 23.06,N
10/16/2023,01:00,BCATWD_WD_1, 22.14,N
10/16/2023,01:00,BCH_RN, 25,N
10/16/2023,01:00,BCK_RN, 24.16,N
10/16/2023,01:00,BIGSTAR_ALL, 24.69,N
10/16/2023,01:00,BLACKJAK_RN, 24.16,N
10/16/2023,01:00,BLSMT1_5_A_6, 22.47,N
10/16/2023,01:00,BLUEJAY_RN, 23.47,N
10/16/2023,01:00,BOARDCRK_ALL, 22.88,N
10/16/2023,01:00,BOOTLEG_UN1, 62.22,N
10/16/2023,01:00,BORDAS_345, 14.72,N
10/16/2023,01:00,BOSQUESW_CC1, 22.89,N
10/16/2023,01:00,BOSQUESW_CC2, 22.78,N
10/16/2023,01:00,BOSQ_BSQSU_5, 22.78,N
10/16/2023,01:00,BOSQ_BSQS_12, 22.78,N
10/16/2023,01:00,BOSQ_BSQS_34, 22.89,N
10/16/2023,01:00,BRANDON_RN, 25.63,N
10/16/2023,01:00,BRAUNIG_CC1, 25.53,N
10/16/2023,01:00,BRAUNIG_VHB1, 25.49,N
10/16/2023,01:00,BRAUNIG_VHB2, 25.49,N
10/16/2023,01:00,BRAUNIG_VHB3, 25.49,N
10/16/2023,01:00,BRAZ_WND_ALL, 31.18,N
10/16/2023,01:00,BRA_AVR1_CT2, 25.53,N
10/16/2023,01:00,BRA_AVR_CST1, 25.53,N
10/16/2023,01:00,BRHEIGHT_RN, 24.16,N
10/16/2023,01:00,BRIGHTSD_RN, 25.44,N
10/16/2023,01:00,BRIGHTSD_U1, 25.44,N
10/16/2023,01:00,BRISCOE_WIND, 23.27,N
10/16/2023,01:00,BRPANGLE_RN, 25.69,N
10/16/2023,01:00,BRPMAGNO_RN, 24.16,N
10/16/2023,01:00,BRP_BRAZ_RN, 25.83,N
10/16/2023,01:00,BRP_DIKN_RN, 24.16,N
10/16/2023,01:00,BRP_LOOP_RN, 23.29,N
10/16/2023,01:00,BRP_LOP1_RN, 21.07,N
10/16/2023,01:00,BRP_PBL1_RN, 70.3,N
10/16/2023,01:00,BRP_PBL2_RN, 70.3,N
10/16/2023,01:00,BRP_RN_UNIT1, 25.82,N
10/16/2023,01:00,BRP_SEMI_RN, 24.15,N
10/16/2023,01:00,BRP_SWNY_RN, 25.93,N
10/16/2023,01:00,BRP_ZPT1_RN, 20.44,N
10/16/2023,01:00,BRP_ZPT2_RN, 20.44,N
10/16/2023,01:00,BRTSW_BCW1, 22.19,N
10/16/2023,01:00,BR_ARROW_ALL, 22.56,N
10/16/2023,01:00,BR_VHB6CT5_6, 25.49,N
10/16/2023,01:00,BR_VHB6CT7_8, 25.49,N
10/16/2023,01:00,BSS_U1, 25.69,N
10/16/2023,01:00,BTE_BTE_G1, 24.05,N
10/16/2023,01:00,BTE_BTE_G2, 24.05,N
10/16/2023,01:00,BTE_BTE_G3, 24.05,N
10/16/2023,01:00,BTE_BTE_G4, 24.05,N
10/16/2023,01:00,BTE_CC1, 24.05,N
10/16/2023,01:00,BTE_PUN1, 24.05,N
10/16/2023,01:00,BTE_PUN2, 24.05,N
10/16/2023,01:00,BTM_ALL, 24.86,N
10/16/2023,01:00,BUCHAN_ALL, 24.88,N
10/16/2023,01:00,BUCKTHRN_RN, 22.57,N
10/16/2023,01:00,BUFF_GAP_ALL, 20.66,N
10/16/2023,01:00,BULLCRK_1_2, 27.93,N
10/16/2023,01:00,BVE_CC1, 24.16,N
10/16/2023,01:00,BVE_UNIT1, 24.16,N
10/16/2023,01:00,BVE_UNIT2, 24.16,N
10/16/2023,01:00,BVE_UNIT3, 24.16,N
10/16/2023,01:00,BYRDR_ES_ALL, 25.93,N
10/16/2023,01:00,BYU_BYU_1, 24.13,N
10/16/2023,01:00,BYU_BYU_12, 24.13,N
10/16/2023,01:00,BYU_BYU_34, 24.13,N
10/16/2023,01:00,BYU_BYU_G8, 24.13,N
10/16/2023,01:00,BYU_CC1, 24.13,N
10/16/2023,01:00,BYU_G4_RN, 24.13,N
10/16/2023,01:00,BYU_PUN1, 24.13,N
10/16/2023,01:00,BYU_PUN2, 24.13,N
10/16/2023,01:00,BYU_PUN3, 24.13,N
10/16/2023,01:00,BYU_PUN4, 24.13,N
10/16/2023,01:00,B_DAVIS_3, 24.83,N
10/16/2023,01:00,B_DAVIS_4, 24.83,N
10/16/2023,01:00,B_DAVIS_CC1, 24.83,N
10/16/2023,01:00,B_D_B_DAVIG1, 24.83,N
10/16/2023,01:00,B_D_B_DAVIG2, 24.83,N
10/16/2023,01:00,CABEZON_ALL, 14.72,N
10/16/2023,01:00,CALAVER_JKS1, 25.42,N
10/16/2023,01:00,CALAVER_JKS2, 25.42,N
10/16/2023,01:00,CALAVER_JTD1, 25.49,N
10/16/2023,01:00,CALAVER_JTD2, 25.49,N
10/16/2023,01:00,CALAVER_OWS1, 25.5,N
10/16/2023,01:00,CALAVER_OWS2, 25.5,N
10/16/2023,01:00,CALHOUN_ALL, 22.67,N
10/16/2023,01:00,CALLAHA_WND1, 22.94,N
10/16/2023,01:00,CAL_CALGT1, 24.09,N
10/16/2023,01:00,CAL_CALSTG1, 24.09,N
10/16/2023,01:00,CAL_CC1, 24.09,N
10/16/2023,01:00,CAL_PUN1, 24.09,N
10/16/2023,01:00,CAL_PUN2, 24.09,N
10/16/2023,01:00,CAMWIND_RN, 14.45,N
10/16/2023,01:00,CANYONWD_ALL, 20.78,N
10/16/2023,01:00,CAPRIDG4_CR4, 33.61,N
10/16/2023,01:00,CAPRIDGE_ALL, 33.61,N
10/16/2023,01:00,CARBN_BSP_1, 45.43,N
10/16/2023,01:00,CASL_GAP_UN1, 68.94,N
10/16/2023,01:00,CATARINA_B1, 29.7,N
10/16/2023,01:00,CBECII_1, 24.16,N
10/16/2023,01:00,CBECII_2, 24.16,N
10/16/2023,01:00,CBECII_89, 24.16,N
10/16/2023,01:00,CBECII_CC3, 24.16,N
10/16/2023,01:00,CBECII_CT7, 24.16,N
10/16/2023,01:00,CBEC_ALL, 31.25,N
10/16/2023,01:00,CBEC_CC1, 31.25,N
10/16/2023,01:00,CBEC_CC2, 31.25,N
10/16/2023,01:00,CBY4_ALL, 24.05,N
10/16/2023,01:00,CBY4_CC1, 24.05,N
10/16/2023,01:00,CBY_CBY_G1, 24.07,N
10/16/2023,01:00,CBY_CBY_G2, 24.07,N
10/16/2023,01:00,CCEC_CC1, 24.52,N
10/16/2023,01:00,CCEC_GT1, 24.52,N
10/16/2023,01:00,CCEC_GT2, 24.52,N
10/16/2023,01:00,CCEC_PUN1, 24.52,N
10/16/2023,01:00,CCEC_PUN2, 24.52,N
10/16/2023,01:00,CCEC_ST1, 24.52,N
10/16/2023,01:00,CEDROHI_CHW1, 16.82,N
10/16/2023,01:00,CEDRVALE_RN, 57.42,N
10/16/2023,01:00,CFLATS_UNIT, 26.24,N
10/16/2023,01:00,CHALUP_ALL, 14.45,N
10/16/2023,01:00,CHAL_SLR_RN, 56.49,N
10/16/2023,01:00,CHAMON_UN1, 24.05,N
10/16/2023,01:00,CHAMON_UN2, 24.05,N
10/16/2023,01:00,CHEDPW_GT2, 24.01,N
10/16/2023,01:00,CHE_CC1, 24.03,N
10/16/2023,01:00,CHE_LYD, 24.04,N
10/16/2023,01:00,CHE_LYD2, 24.04,N
10/16/2023,01:00,CHE_PUN1, 24.04,N
10/16/2023,01:00,CHE_PUN2, 24.04,N
10/16/2023,01:00,CHISMGRD_RN, 22.37,N
10/16/2023,01:00,CITYVICT_ALL, 23.39,N
10/16/2023,01:00,CN_BRKS_UNT1, 23.44,N
10/16/2023,01:00,COL_COLETOG1, 24.1,N
10/16/2023,01:00,CONIGLIO_RN, 22.53,N
10/16/2023,01:00,CORALSLR_ALL, 22.91,N
10/16/2023,01:00,CORAZON_RN, 14.75,N
10/16/2023,01:00,COTPLNS_RN, 23.35,N
10/16/2023,01:00,COTTON_PAP2, 24.13,N
10/16/2023,01:00,COYOTSPR_RN, 57.59,N
10/16/2023,01:00,CPSES_UNIT1, 22.38,N
10/16/2023,01:00,CPSES_UNIT2, 22.38,N
10/16/2023,01:00,CRANELL_ALL, 24.16,N
10/16/2023,01:00,CROSSETT_ALL, 69.46,N
10/16/2023,01:00,CRWN_SLR_UN1, 23.56,N
10/16/2023,01:00,CSC_CSECG1_2, 29.99,N
10/16/2023,01:00,CVC_CC1, 24.01,N
10/16/2023,01:00,CVC_CVCG1_5, 24.01,N
10/16/2023,01:00,CVC_CVC_G2, 24.01,N
10/16/2023,01:00,CVC_CVC_G3, 24.01,N
10/16/2023,01:00,DAG_ALL, 27.27,N
10/16/2023,01:00,DANSBY_ALL, 23.52,N
10/16/2023,01:00,DAN_ALL, 24.1,N
10/16/2023,01:00,DC2SES_ALL, 22.54,N
10/16/2023,01:00,DC_E, 22.55,N
10/16/2023,01:00,DC_L, 15.12,N
10/16/2023,01:00,DC_N, 22.32,N
10/16/2023,01:00,DC_R, 13.95,N
10/16/2023,01:00,DDPEC_CC1, 24.09,N
10/16/2023,01:00,DDPEC_GT1, 24.09,N
10/16/2023,01:00,DDPEC_GT2, 24.09,N
10/16/2023,01:00,DDPEC_GT3, 24.09,N
10/16/2023,01:00,DDPEC_GT4, 24.09,N
10/16/2023,01:00,DDPEC_GT6, 24.09,N
10/16/2023,01:00,DDPEC_ST1, 24.09,N
10/16/2023,01:00,DECKER_DPG2, 24.67,N
10/16/2023,01:00,DECKER_GT, 24.67,N
10/16/2023,01:00,DENISON_G1_2, 22.5,N
10/16/2023,01:00,DERMOTT_ALL, 22.46,N
10/16/2023,01:00,DIBOL_RN, 22.81,N
10/16/2023,01:00,DIB_CC1, 24.1,N
10/16/2023,01:00,DIB_DIB_G1, 24.1,N
10/16/2023,01:00,DIB_DIB_G2, 24.1,N
10/16/2023,01:00,DIB_DIB_G3, 24.1,N
10/16/2023,01:00,DIB_DIB_G4, 24.1,N
10/16/2023,01:00,DIB_PUN1, 24.1,N
10/16/2023,01:00,DIB_PUN2, 24.1,N
10/16/2023,01:00,DILEOS_UNIT1, 23.12,N
10/16/2023,01:00,DOWGEN_PUN1, 24.23,N
10/16/2023,01:00,DOWGEN_PUN2, 24.23,N
10/16/2023,01:00,DOWGEN_PUN3, 24.23,N
10/16/2023,01:00,DOW_61_2_63, 24.23,N
10/16/2023,01:00,DOW_64, 24.23,N
10/16/2023,01:00,DOW_81_2_84, 24.23,N
10/16/2023,01:00,DOW_G37_G35, 24.23,N
10/16/2023,01:00,DOW_G66_ST65, 24.23,N
10/16/2023,01:00,DOW_G67, 24.23,N
10/16/2023,01:00,DOW_G96_ST95, 24.23,N
10/16/2023,01:00,DUKE_CC1, 13.88,N
10/16/2023,01:00,DUKE_GST1CCU, 13.88,N
10/16/2023,01:00,DUKE_GT2_CCU, 13.88,N
10/16/2023,01:00,DUP_PUN1, 23.3,N
10/16/2023,01:00,DUP_PUN2, 23.3,N
10/16/2023,01:00,DUP_PUN3, 23.3,N
10/16/2023,01:00,DUP_PUN4, 23.3,N
10/16/2023,01:00,EBELLS_UNIT1, 24.19,N
10/16/2023,01:00,ECLIPSE_UN1, 59.83,N
10/16/2023,01:00,EIFSLR_UNIT1, 22.54,N
10/16/2023,01:00,ELB_ELBCREEK, 50.21,N
10/16/2023,01:00,ELECTRAW_1_2, 22.34,N
10/16/2023,01:00,ELSAUZ_ALL, 23.06,N
10/16/2023,01:00,ELSA_ESR_RN, 14.1,N
10/16/2023,01:00,ELS_RN_1, 22.39,N
10/16/2023,01:00,EL_RAYO_ALL, 14.5,N
10/16/2023,01:00,ENAS_ENA1, 34.67,N
10/16/2023,01:00,ENDPARK_ESS1, 24.42,N
10/16/2023,01:00,ERSL_RN, 27.61,N
10/16/2023,01:00,ESTONIAN_ALL, 22.54,N
10/16/2023,01:00,ETCCS_CC1, 22.49,N
10/16/2023,01:00,ETCCS_CCU, 22.49,N
10/16/2023,01:00,EUNICE_ALL, 52.51,N
10/16/2023,01:00,EXGNSND_RN, 20.44,N
10/16/2023,01:00,EXGNWTL_1, 16.82,N
10/16/2023,01:00,EXN_14, 24.07,N
10/16/2023,01:00,EXN_1_3, 24.07,N
10/16/2023,01:00,EXN_4, 24.07,N
10/16/2023,01:00,EXN_8, 24.07,N
10/16/2023,01:00,EXN_9_13, 24.07,N
10/16/2023,01:00,EXN_PUN1, 24.07,N
10/16/2023,01:00,EXN_PUN2, 24.07,N
10/16/2023,01:00,EXN_PUN3, 24.07,N
10/16/2023,01:00,E_BLACK_RN, 24.5,N
10/16/2023,01:00,FALFUR_RN, 18.19,N
10/16/2023,01:00,FAL_FALCONG1, 21.42,N
10/16/2023,01:00,FAL_FALCONG2, 21.42,N
10/16/2023,01:00,FAL_FALCONG3, 21.42,N
10/16/2023,01:00,FAULKNER_RN, 57.59,N
10/16/2023,01:00,FEGC_RN, 24.36,N
