DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
09/17/2023,01:00,AEEC, 26.84,N
09/17/2023,01:00,AGUAYO_UNIT1, 29.1,N
09/17/2023,01:00,AJAXWIND_RN, 25.39,N
09/17/2023,01:00,ALGOD_ALL_RN, 30.13,N
09/17/2023,01:00,ALVIN_RN, 28.57,N
09/17/2023,01:00,AMADEUS_ALL, 24.52,N
09/17/2023,01:00,AMISTAD_ALL, 38.79,N
09/17/2023,01:00,AMOCOOIL_CC1, 28.52,N
09/17/2023,01:00,AMOCOOIL_CC2, 28.52,N
09/17/2023,01:00,AMOCO_PUN1, 28.52,N
09/17/2023,01:00,AMOCO_PUN2, 28.52,N
09/17/2023,01:00,AMO_AMOCO_1, 28.52,N
09/17/2023,01:00,AMO_AMOCO_2, 28.52,N
09/17/2023,01:00,AMO_AMOCO_5, 28.52,N
09/17/2023,01:00,AMO_AMOCO_G1, 28.52,N
09/17/2023,01:00,AMO_AMOCO_G2, 28.52,N
09/17/2023,01:00,AMO_AMOCO_G3, 28.52,N
09/17/2023,01:00,AMO_AMOCO_S1, 28.52,N
09/17/2023,01:00,AMO_AMOCO_S2, 28.52,N
09/17/2023,01:00,ANACACHO_ANA, 35.21,N
09/17/2023,01:00,ANCHOR_ALL, 25.45,N
09/17/2023,01:00,ANDMDSLR_ALL, 24.38,N
09/17/2023,01:00,ANSON1_ALL, 23.67,N
09/17/2023,01:00,APPALOSA_ALL, 57.47,N
09/17/2023,01:00,AQUI_ALL, 26.96,N
09/17/2023,01:00,ARAGORN_RN, 50.28,N
09/17/2023,01:00,ASTRA_RN, 25.92,N
09/17/2023,01:00,ATK_ATKINSG7, 27.9,N
09/17/2023,01:00,AUSTPL_ALL, 29.51,N
09/17/2023,01:00,AVIAT_ALL, 41.49,N
09/17/2023,01:00,AZURE_RN, 24.75,N
09/17/2023,01:00,AZ_ALL, 28.4,N
09/17/2023,01:00,BAC_RN_ALL, 28.51,N
09/17/2023,01:00,BAFFIN_ALL, 30.12,N
09/17/2023,01:00,BAIRDWND_ALL, 24.9,N
09/17/2023,01:00,BARROW_ALL, 50.21,N
09/17/2023,01:00,BASTEN_CC1, 29.52,N
09/17/2023,01:00,BASTEN_CCU, 29.52,N
09/17/2023,01:00,BATCAVE_RN, 30.91,N
09/17/2023,01:00,BAYC_BESS_RN, 29.23,N
09/17/2023,01:00,BBREEZE_1_2, 30.16,N
09/17/2023,01:00,BCATWD_WD_1, 25.54,N
09/17/2023,01:00,BCH_RN, 28.67,N
09/17/2023,01:00,BCK_RN, 28.69,N
09/17/2023,01:00,BIGSTAR_ALL, 29.53,N
09/17/2023,01:00,BLACKJAK_RN, 30.11,N
09/17/2023,01:00,BLSMT1_5_A_6, 25.46,N
09/17/2023,01:00,BLUEJAY_RN, 27.88,N
09/17/2023,01:00,BOARDCRK_ALL, 26.94,N
09/17/2023,01:00,BOOTLEG_UN1, 48.88,N
09/17/2023,01:00,BORDAS_345, 30.33,N
09/17/2023,01:00,BOSQUESW_CC1, 27.32,N
09/17/2023,01:00,BOSQUESW_CC2, 27.41,N
09/17/2023,01:00,BOSQ_BSQSU_5, 27.41,N
09/17/2023,01:00,BOSQ_BSQS_12, 27.41,N
09/17/2023,01:00,BOSQ_BSQS_34, 27.32,N
09/17/2023,01:00,BRANDON_RN, 28.59,N
09/17/2023,01:00,BRAUNIG_CC1, 30.65,N
09/17/2023,01:00,BRAUNIG_VHB1, 30.57,N
09/17/2023,01:00,BRAUNIG_VHB2, 30.57,N
09/17/2023,01:00,BRAUNIG_VHB3, 30.65,N
09/17/2023,01:00,BRAZ_WND_ALL, 32.89,N
09/17/2023,01:00,BRA_AVR1_CT2, 30.65,N
09/17/2023,01:00,BRA_AVR_CST1, 30.65,N
09/17/2023,01:00,BRHEIGHT_RN, 28.52,N
09/17/2023,01:00,BRIGHTSD_RN, 30.39,N
09/17/2023,01:00,BRIGHTSD_U1, 30.39,N
09/17/2023,01:00,BRISCOE_WIND, 25.72,N
09/17/2023,01:00,BRPANGLE_RN, 28.7,N
09/17/2023,01:00,BRPMAGNO_RN, 28.53,N
09/17/2023,01:00,BRP_BRAZ_RN, 28.7,N
09/17/2023,01:00,BRP_DIKN_RN, 28.52,N
09/17/2023,01:00,BRP_LOOP_RN, 29.91,N
09/17/2023,01:00,BRP_LOP1_RN, 30.28,N
09/17/2023,01:00,BRP_PBL1_RN, 35.23,N
09/17/2023,01:00,BRP_PBL2_RN, 35.23,N
09/17/2023,01:00,BRP_RN_UNIT1, 30.89,N
09/17/2023,01:00,BRP_SEMI_RN, 28.54,N
09/17/2023,01:00,BRP_SWNY_RN, 28.7,N
09/17/2023,01:00,BRP_ZPT1_RN, 30.32,N
09/17/2023,01:00,BRP_ZPT2_RN, 30.4,N
09/17/2023,01:00,BRTSW_BCW1, 26.08,N
09/17/2023,01:00,BR_ARROW_ALL, 26.46,N
09/17/2023,01:00,BR_VHB6CT5_6, 30.57,N
09/17/2023,01:00,BR_VHB6CT7_8, 30.57,N
09/17/2023,01:00,BSS_U1, 28.69,N
09/17/2023,01:00,BTE_BTE_G1, 28.38,N
09/17/2023,01:00,BTE_BTE_G2, 28.38,N
09/17/2023,01:00,BTE_BTE_G3, 28.38,N
09/17/2023,01:00,BTE_BTE_G4, 28.38,N
09/17/2023,01:00,BTE_CC1, 28.38,N
09/17/2023,01:00,BTE_PUN1, 28.38,N
09/17/2023,01:00,BTE_PUN2, 28.38,N
09/17/2023,01:00,BTM_ALL, 28.62,N
09/17/2023,01:00,BUCHAN_ALL, 30.04,N
09/17/2023,01:00,BUCKTHRN_RN, 26.73,N
09/17/2023,01:00,BUFF_GAP_ALL, 25.98,N
09/17/2023,01:00,BULLCRK_1_2, 29.46,N
09/17/2023,01:00,BVE_CC1, 28.57,N
09/17/2023,01:00,BVE_UNIT1, 28.57,N
09/17/2023,01:00,BVE_UNIT2, 28.57,N
09/17/2023,01:00,BVE_UNIT3, 28.57,N
09/17/2023,01:00,BYRDR_ES_ALL, 28.7,N
09/17/2023,01:00,BYU_BYU_1, 28.46,N
09/17/2023,01:00,BYU_BYU_12, 28.46,N
09/17/2023,01:00,BYU_BYU_34, 28.46,N
09/17/2023,01:00,BYU_BYU_G8, 28.46,N
09/17/2023,01:00,BYU_CC1, 28.46,N
09/17/2023,01:00,BYU_G4_RN, 28.46,N
09/17/2023,01:00,BYU_PUN1, 28.46,N
09/17/2023,01:00,BYU_PUN2, 28.46,N
09/17/2023,01:00,BYU_PUN3, 28.46,N
09/17/2023,01:00,BYU_PUN4, 28.46,N
09/17/2023,01:00,B_DAVIS_3, 30.08,N
09/17/2023,01:00,B_DAVIS_4, 30.08,N
09/17/2023,01:00,B_DAVIS_CC1, 30.08,N
09/17/2023,01:00,B_D_B_DAVIG1, 30.08,N
09/17/2023,01:00,B_D_B_DAVIG2, 30.08,N
09/17/2023,01:00,CABEZON_ALL, 30.22,N
09/17/2023,01:00,CALAVER_JKS1, 30.55,N
09/17/2023,01:00,CALAVER_JKS2, 30.55,N
09/17/2023,01:00,CALAVER_JTD1, 30.61,N
09/17/2023,01:00,CALAVER_JTD2, 30.61,N
09/17/2023,01:00,CALAVER_OWS1, 30.59,N
09/17/2023,01:00,CALAVER_OWS2, 30.59,N
09/17/2023,01:00,CALHOUN_ALL, 29.76,N
09/17/2023,01:00,CALLAHA_WND1, 28.59,N
09/17/2023,01:00,CAL_CALGT1, 28.4,N
09/17/2023,01:00,CAL_CALSTG1, 28.4,N
09/17/2023,01:00,CAL_CC1, 28.4,N
09/17/2023,01:00,CAL_PUN1, 28.4,N
09/17/2023,01:00,CAL_PUN2, 28.4,N
