Hour Ending,Target_Price,ERCOT.LOAD,ERCOT.WIND.GEN,"Wind Output, % of Load","Wind Output, % of Installed",Wind 1-hr MW change,Wind 1-hr % change,WEST_Load
2022-04-18 10:00:00,33.96,41084.66730685764,13534.576457248264,32.94313266834983,37.961956798160784,1974.7761490885423,17.083133760490707,1087.186813
2022-04-18 11:00:00,33.54,42254.04117838541,13768.818152126736,32.58580189761831,38.618960962967314,234.2416948784721,1.7306909870314195,1113.419
2022-04-18 12:00:00,34.59,43264.96435763889,12983.749731987848,30.009847285810665,36.41699080578871,-785.0684201388885,-5.70178508761572,1140.816774
2022-04-18 13:00:00,31.14,44358.84341362847,12450.79849609375,28.06835692264344,34.922162219431044,-532.9512358940974,-4.10475592101929,1161.146892
2022-04-18 14:00:00,36.09,45502.045334201386,12174.321920572916,26.755548747656288,34.14669710984466,-276.47657552083365,-2.2205529678082416,1199.989643
2022-04-18 15:00:00,36.62,46769.45093315972,12242.06708875868,26.17534917451641,34.33670964227044,67.74516818576376,0.5564594778070048,1239.766785
2022-04-18 16:00:00,32.07,48090.48618923611,12265.516478949652,25.50507896860272,34.402480798108584,23.449390190971823,0.1915476366936782,1292.470171
2022-04-18 17:00:00,21.8,49159.36053385417,12837.148516710067,26.113335033863216,36.0058018026816,571.632037760417,4.660480777482664,1340.578831
2022-04-18 18:00:00,27.89,49519.47599392361,14001.312873263889,28.274355881677643,39.271065193010095,1164.1643565538195,9.068714559455564,1358.362544
2022-04-18 19:00:00,83.29,48819.60284505208,15702.635951605902,32.164612238744134,44.042958381078456,1701.323078342013,12.151168206452716,1355.912576
2022-04-18 20:00:00,98.45,47369.12360677083,16102.53254014757,33.9937311777622,45.16459355495349,399.89658854166737,2.5466844533243487,1309.514646
2022-04-18 21:00:00,44.41,46982.932901475695,15921.8285546875,33.888536903551646,44.65775265668387,-180.70398546006984,-1.1222084787565585,1294.751994
2022-04-18 22:00:00,37.0,45282.0904296875,17568.579152560764,38.798074439254655,49.27658023886002,1646.7505978732645,10.342722836243889,1256.420572
2022-04-19 01:00:00,8.53,36318.10560329861,19962.27392578125,54.96507484126091,55.99044659855061,824.9653081597207,4.310769735928788,1029.49989
2022-04-19 02:00:00,4.83,34668.374105902774,19950.38919487848,57.54636526632393,55.95711215010931,-11.884730902776935,-0.0595359574112838,991.892874
2022-04-19 03:00:00,8.6,33719.6925390625,18912.475620659723,56.0873311604209,53.04595860280965,-1037.91357421875,-5.202472814340865,972.153253
2022-04-19 04:00:00,28.27,33280.999787326386,18283.92775390625,54.93803632927183,51.28299933780116,-628.5478667534735,-3.3234563224861824,963.735206
2022-04-19 05:00:00,50.27,33555.841375868054,17630.85281467014,52.54182905796397,49.45124621958921,-653.0749392361104,-3.5718525473640907,963.063074
2022-04-19 06:00:00,62.6,35024.74506727431,17834.21105034722,50.91888896290863,50.02162805471411,203.3582356770821,1.153422570165599,992.318882
2022-04-19 07:00:00,58.4,37790.80750217014,18270.16953342014,48.34553887839252,51.24441010131024,435.95848307291817,2.44450669470142,1053.415974
2022-04-19 08:00:00,13.77,39033.04822048611,18847.99918619792,48.287284866227104,52.8651142574199,577.8296527777784,3.1626945317655726,1086.443124
2022-04-19 09:00:00,-0.28,39467.57613498264,19010.24032118056,48.1667286994363,53.32017031156019,162.24113498263614,0.8607870436531144,1082.617757
2022-04-19 10:00:00,-2.3,40260.78599609375,19988.5506640625,49.64769109575224,56.0641479372353,978.310342881945,5.146228171518407,1096.344882
2022-04-19 11:00:00,-7.79,41043.46828342014,20487.648470052085,49.91695226284824,57.46402398129774,499.0978059895861,2.49691843284524,1117.618134
2022-04-19 12:00:00,-7.58,41944.11935980903,20825.02586154514,49.64945308042333,58.41030449483954,337.37739149305344,1.646735553795822,1139.964193
2022-04-19 13:00:00,-6.43,42641.3334657118,21405.768595920137,50.19957598918117,60.03917930025562,580.7427343749987,2.788677134117661,1154.173661
2022-04-19 14:00:00,-4.08,43424.23275607639,21702.82005208333,49.97859184753573,60.872353103759394,297.05145616319714,1.3877168429252948,1165.081852
2022-04-19 15:00:00,-2.79,44122.0691015625,22354.06828993056,50.66414323968984,62.69898266606051,651.2482378472196,3.000753986276101,1168.520881
2022-04-19 16:00:00,-5.04,44337.83052517361,22408.32669921875,50.53997102202828,62.85116736100398,54.25840928819525,0.2427227499910434,1162.889517
2022-04-19 17:00:00,-5.0,44698.34576171875,22537.08011935764,50.42038969294293,63.21229663522744,128.75342013888803,0.5745784674916263,1179.032283
2022-04-19 18:00:00,-4.77,44723.44643012153,22749.17360460069,50.86632498268063,63.807179212410446,212.09348524305824,0.9410867961590378,1160.063763
2022-04-19 19:00:00,-4.7,44512.503567708336,23153.02678819445,52.01465865198121,64.93991189575756,403.85318359375015,1.7752433148256277,1182.028149
2022-04-19 20:00:00,-0.29,44513.51185980903,23386.42931857639,52.53782130744856,65.59456236102541,233.4025303819435,1.008086469717876,1196.12676
2022-04-19 21:00:00,-0.29,45059.040188802086,23516.503420138888,52.19042243599127,65.95939589975286,130.07410156249898,0.5561947905368267,1230.451161
2022-04-19 22:00:00,18.61,44065.57582682292,23275.27344618056,52.8196284956131,65.28279091852174,-241.22997395833227,-1.025790142558989,1220.647173
2022-04-20 01:00:00,-0.28,37366.19285047743,22816.188846028646,61.06104771585559,63.99514443673364,7.216998697917006,0.0316410522412986,1045.836512
2022-04-20 02:00:00,-0.46,36253.95289930556,22795.70330078125,62.877842215153045,63.93768631189872,-20.48554524739665,-0.0897851318887656,1020.418043
2022-04-20 03:00:00,-0.29,35620.7458203125,22776.64221842448,63.94206997607627,63.88422353918178,-19.061082356769475,-0.0836169961736439,1014.511045
2022-04-20 04:00:00,-0.29,35295.21412543403,22468.64641655816,63.65918715412202,63.02035289192539,-307.9958018663201,-1.352244105661791,1007.742246
2022-04-20 05:00:00,-0.28,35732.409016927086,22217.51737467448,62.177496524652575,62.31598287570325,-251.1290418836797,-1.117686562990334,1011.002947
2022-04-20 06:00:00,6.27,37397.99039171007,22464.16844889323,60.06784913735047,63.00779302974008,246.65107421874927,1.110164876026627,1038.792423
2022-04-20 07:00:00,9.1,39967.314154730906,21946.323856336807,54.9106796903415,61.55533575389674,-517.8445925564229,-2.305202588444516,1093.698844
2022-04-20 08:00:00,2.21,41633.66745659722,21776.55324435764,52.305152475600494,61.07916092434756,-169.7706119791692,-0.7735719799384507,1134.883339
2022-04-20 09:00:00,0.01,42272.98783528646,20246.77885742188,47.89531067998301,56.78842974622577,-1529.774386935762,-7.024869224114383,1149.300189
2022-04-20 10:00:00,2.15,43534.53811631945,20467.91142361112,47.01534071390198,57.40866525568988,221.13256618923697,1.0921864052867662,1181.898437
2022-04-20 11:00:00,9.63,44967.884251302086,20432.89970703125,45.43887275826102,57.31046393580134,-35.01171657986197,-0.1710566156714631,1213.831734
2022-04-20 12:00:00,40.69,46359.71265299479,20235.127173394096,43.64808583878685,56.75574895070288,-197.772533637155,-0.9679122223122284,1254.57429
2022-04-20 13:00:00,51.95,47780.29653862847,18455.07757215712,38.62487031079207,51.76304258311255,-1780.0496012369767,-8.796829325478383,1298.177147
2022-04-20 14:00:00,54.83,49439.23863932292,16518.91582682292,33.412561118374754,46.33247083505713,-1936.1617453342003,-10.491214343391636,1350.088082
2022-04-20 15:00:00,71.08,51118.74139756944,14779.836554904514,28.91275518690148,41.45467858217966,-1739.0792719184046,-10.52780515470961,1400.425203
2022-04-20 16:00:00,80.13,52443.0831532118,13772.964758029511,26.26269076856517,38.63059141735482,-1006.8717968750008,-6.812469090132679,1450.108858
2022-04-20 17:00:00,76.38,53851.70377387153,13356.489987521702,24.802353596103263,37.46245754220319,-416.4747705078116,-3.023857083965968,1494.910886
2022-04-20 18:00:00,85.66,54632.04560980903,13119.478263888888,24.014254120357016,36.797683964572094,-237.0117236328133,-1.7745060555148957,1515.921953
2022-04-20 19:00:00,197.11,54038.69556206597,12891.33601969401,23.85574982077002,36.15778761869692,-228.142244194878,-1.7389582085961082,1513.680187
2022-04-20 20:00:00,161.72,52670.369888237845,12186.473850911458,23.13724752032337,34.18078100275281,-704.8621687825525,-5.467720085069066,1462.079422
2022-04-20 21:00:00,60.16,52148.45823350694,12660.01568250868,24.27687435325603,35.50897731609873,473.541831597222,3.885798610742553,1438.773976
2022-04-20 22:00:00,56.85,50912.51063802083,15576.954998914933,30.595534975017035,43.69044680367692,2916.9393164062512,23.0405663749402,1393.35587
2022-04-21 01:00:00,2.48,42074.33165690104,22330.426803385417,53.07375286547843,62.632672715859584,263.0576893446196,1.1920663853727989,1192.531861
2022-04-21 02:00:00,6.53,40228.44846896701,22347.65140353733,55.5518600742873,62.68098449930532,17.224600151908817,0.0771351139123658,1149.100511
2022-04-21 03:00:00,6.5,38966.464534505205,22015.05118869357,56.49743042302188,61.748103073215646,-332.600214843751,-1.4883005325163834,1121.46412
2022-04-21 04:00:00,13.01,38462.72788628472,21772.50800998264,56.6067702591277,61.067814798145,-242.54317871093733,-1.1017152612186611,1097.878558
2022-04-21 05:00:00,22.24,38657.36588975695,21527.71380750868,55.68851708339725,60.38121282222725,-244.79420247395683,-1.1243270750513414,1083.253343
2022-04-21 06:00:00,48.42,40143.24961805555,21623.36422960069,53.86550524767427,60.64949437522984,95.6504220920142,0.4443129583906497,1097.316701
2022-04-21 07:00:00,55.25,42637.023794487846,21610.21848253038,50.68416263455089,60.61262301217396,-13.14574707031352,-0.0607941804555926,1156.748992
2022-04-21 08:00:00,30.32,43940.82669270833,20643.289637586804,46.979747973226935,57.90056836054976,-966.9288449435772,-4.47440568787048,1179.46423
2022-04-21 09:00:00,13.83,44792.286796875,19861.90121744792,44.342235321715286,55.70891991542904,-781.3884201388864,-3.785193318782648,1198.11067
2022-04-21 10:00:00,17.81,46161.22540798611,20121.17486328125,43.588909708190265,56.436134023171256,259.2736458333311,1.305381811110656,1244.728578
2022-04-21 11:00:00,32.18,47866.41407118055,19632.781690538195,41.01577707772916,55.06628247423273,-488.3931727430536,-2.4272597204764272,1285.825791
2022-04-21 12:00:00,44.89,49301.970785590274,18543.241634114584,37.61156265894001,52.01032629544382,-1089.5400564236115,-5.549595944158557,1325.730797
2022-04-21 13:00:00,46.8,50711.249908854166,17157.19245876736,33.83310900363298,48.12271746772322,-1386.0491753472234,-7.474686479829207,1371.025464
2022-04-21 14:00:00,41.05,52289.314240451386,15804.56576280382,30.22523051292437,44.32885244664914,-1352.6266959635414,-7.883729807275936,1435.852894
2022-04-21 15:00:00,32.77,53786.27183810764,16145.96201497396,30.01874170340716,45.28640511310116,341.39625217013963,2.160111560759351,1487.455218
2022-04-21 16:00:00,18.6,54937.04010850695,17844.04551595052,32.48090082885152,50.0492118922686,1698.0835009765633,10.517078507937406,1540.743683
2022-04-21 17:00:00,8.58,55714.870113932295,19644.32634548611,35.25867745058921,55.09866307319472,1800.28082953559,10.08897241338208,1584.194728
2022-04-21 18:00:00,-0.28,55428.954296875,21544.29305555556,38.868301465990655,60.42771451366099,1899.9667100694423,9.671834384415112,1584.190554
2022-04-21 19:00:00,22.3,54290.38632161458,22592.527241210937,41.614231859345225,63.36781544669715,1048.234185655383,4.865484251222987,1542.368435
2022-04-21 20:00:00,29.41,53219.38116319444,23304.46985568577,43.78944164011196,65.36468138918399,711.9426144748286,3.151230523587361,1498.683745
2022-04-21 21:00:00,1.22,53117.38722873264,23988.457836371526,45.16121572974418,67.2831398097538,683.9879806857607,2.935007682738095,1468.720716
2022-04-21 22:00:00,10.76,51611.41662977431,24150.914921332464,46.79374545088528,67.73880156321337,162.4570849609372,0.6772302165861545,1435.918983
2022-04-22 01:00:00,3.0,42653.156918402776,23584.949709201388,55.29473411386725,66.15137494516979,309.9524457465268,1.331697023368494,1172.344076
2022-04-22 02:00:00,-0.15,40732.22940538194,23559.17599609375,57.83915179703097,66.07908449806116,-25.7737131076392,-0.1092803394767633,1131.075797
2022-04-22 03:00:00,-0.29,39395.34740993923,23432.006380750867,59.47912106707072,65.7223975002128,-127.16961534288204,-0.5397880442166886,1093.284209
2022-04-22 04:00:00,-0.29,38691.34617404514,23284.82312282986,60.18095885857222,65.30957597629894,-147.18325792100586,-0.6281291304269842,1069.19926
2022-04-22 05:00:00,0.78,38953.26411458333,23139.839615885416,59.40410936505399,64.90292434265116,-144.98350694444525,-0.6226523868343006,1059.197005
