DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
02/21/2024,01:00,7RNCHSLR_ALL, 3.75,N
02/21/2024,01:00,AEEC, -0.58,N
02/21/2024,01:00,AGUAYO_UNIT1, -0.19,N
02/21/2024,01:00,AJAXWIND_RN, -0.05,N
02/21/2024,01:00,ALGOD_ALL_RN, -0.66,N
02/21/2024,01:00,ALVIN_RN, 5.26,N
02/21/2024,01:00,AMADEUS_ALL, -0.08,N
02/21/2024,01:00,AMISTAD_ALL, -2.27,N
02/21/2024,01:00,AMOCOOIL_CC1, 5.21,N
02/21/2024,01:00,AMOCOOIL_CC2, 5.21,N
02/21/2024,01:00,AMOCO_PUN1, 5.21,N
02/21/2024,01:00,AMOCO_PUN2, 5.21,N
02/21/2024,01:00,AMO_AMOCO_1, 5.21,N
02/21/2024,01:00,AMO_AMOCO_2, 5.21,N
02/21/2024,01:00,AMO_AMOCO_5, 5.21,N
02/21/2024,01:00,AMO_AMOCO_G1, 5.21,N
02/21/2024,01:00,AMO_AMOCO_G2, 5.21,N
02/21/2024,01:00,AMO_AMOCO_G3, 5.21,N
02/21/2024,01:00,AMO_AMOCO_S1, 5.21,N
02/21/2024,01:00,AMO_AMOCO_S2, 5.21,N
02/21/2024,01:00,ANACACHO_ANA, 3.35,N
02/21/2024,01:00,ANCHOR_ALL, 0.01,N
02/21/2024,01:00,ANDMDSLR_ALL, -0.08,N
02/21/2024,01:00,ANEM_ESS_RN, -31.05,N
02/21/2024,01:00,ANG_ALL, -0.27,N
02/21/2024,01:00,ANSON1_ALL, -0.05,N
02/21/2024,01:00,APPALOSA_ALL, 1.6,N
02/21/2024,01:00,AQUI_ALL, 3.99,N
02/21/2024,01:00,ARAGORN_RN, 1.99,N
02/21/2024,01:00,ASTRA_RN, -0.84,N
02/21/2024,01:00,ATK_ATKINSG7, 4.48,N
02/21/2024,01:00,AURO_SLR_RN, 4.1,N
02/21/2024,01:00,AUSTPL_ALL, 3.55,N
02/21/2024,01:00,AVIAT_ALL, -0.29,N
02/21/2024,01:00,AZURE_RN, -0.08,N
02/21/2024,01:00,AZ_ALL, 5.1,N
02/21/2024,01:00,BAC_RN_ALL, 5.2,N
02/21/2024,01:00,BAFFIN_ALL, -5.55,N
02/21/2024,01:00,BAIRDWND_ALL, -0.02,N
02/21/2024,01:00,BAKE_RN_ALL, 4.02,N
02/21/2024,01:00,BARROW_ALL, 2.52,N
02/21/2024,01:00,BASTEN_CC1, 3.61,N
02/21/2024,01:00,BASTEN_CCU, 3.61,N
02/21/2024,01:00,BATCAVE_RN, 3.24,N
02/21/2024,01:00,BAYC_BESS_RN, 7.63,N
02/21/2024,01:00,BBREEZE_1_2, -5.1,N
02/21/2024,01:00,BCATWD_WD_1, 0.36,N
02/21/2024,01:00,BCH_RN, 5.31,N
02/21/2024,01:00,BCK_RN, 5.54,N
02/21/2024,01:00,BELM_SLR_RN, 3.92,N
02/21/2024,01:00,BIGSTAR_ALL, 3.86,N
02/21/2024,01:00,BLACKJAK_RN, 0.2,N
02/21/2024,01:00,BLSMT1_5_A_6, -0.12,N
02/21/2024,01:00,BLUEJAY_RN, 4.52,N
02/21/2024,01:00,BOARDCRK_ALL, 4.16,N
02/21/2024,01:00,BOOTLEG_UN1, 1.32,N
02/21/2024,01:00,BORDAS_345, -34.18,N
02/21/2024,01:00,BOSQUESW_CC1, 3.86,N
02/21/2024,01:00,BOSQUESW_CC2, 3.91,N
02/21/2024,01:00,BOSQ_BSQSU_5, 3.91,N
02/21/2024,01:00,BOSQ_BSQS_12, 3.91,N
02/21/2024,01:00,BOSQ_BSQS_34, 3.86,N
02/21/2024,01:00,BRANDON_RN, 1.32,N
02/21/2024,01:00,BRAUNIG_CC1, 2.69,N
02/21/2024,01:00,BRAUNIG_VHB1, 2.75,N
02/21/2024,01:00,BRAUNIG_VHB2, 2.75,N
02/21/2024,01:00,BRAUNIG_VHB3, 2.75,N
02/21/2024,01:00,BRAZ_WND_ALL, -0.02,N
02/21/2024,01:00,BRA_AVR1_CT2, 2.69,N
02/21/2024,01:00,BRA_AVR_CST1, 2.69,N
02/21/2024,01:00,BRHEIGHT_RN, 5.21,N
02/21/2024,01:00,BRIGHTSD_RN, 4.99,N
02/21/2024,01:00,BRIGHTSD_U1, 5.84,N
02/21/2024,01:00,BRISCOE_WIND, -0.79,N
02/21/2024,01:00,BRPANGLE_RN, 5.33,N
02/21/2024,01:00,BRPMAGNO_RN, 5.22,N
02/21/2024,01:00,BRP_BRAZ_RN, 5.32,N
02/21/2024,01:00,BRP_DIKN_RN, 5.22,N
02/21/2024,01:00,BRP_LOOP_RN, 3.16,N
02/21/2024,01:00,BRP_LOP1_RN, -8.61,N
02/21/2024,01:00,BRP_PBL1_RN, 5.83,N
02/21/2024,01:00,BRP_PBL2_RN, 5.83,N
02/21/2024,01:00,BRP_RN_UNIT1, 2.83,N
02/21/2024,01:00,BRP_SEMI_RN, 5.23,N
02/21/2024,01:00,BRP_SWNY_RN, 5.32,N
02/21/2024,01:00,BRP_ZPT1_RN, -8.18,N
02/21/2024,01:00,BRP_ZPT2_RN, -7.92,N
02/21/2024,01:00,BRTSW_BCW1, 2.11,N
02/21/2024,01:00,BR_ARROW_ALL, 4.03,N
02/21/2024,01:00,BR_VHB6CT5_6, 2.75,N
02/21/2024,01:00,BR_VHB6CT7_8, 2.75,N
02/21/2024,01:00,BSS_U1, 5.32,N
02/21/2024,01:00,BTE_BTE_G1, 5.08,N
02/21/2024,01:00,BTE_BTE_G2, 5.08,N
02/21/2024,01:00,BTE_BTE_G3, 5.08,N
02/21/2024,01:00,BTE_BTE_G4, 5.08,N
02/21/2024,01:00,BTE_CC1, 5.08,N
02/21/2024,01:00,BTE_PUN1, 5.08,N
02/21/2024,01:00,BTE_PUN2, 5.08,N
02/21/2024,01:00,BTM_ALL, 5.27,N
02/21/2024,01:00,BUCHAN_ALL, 3.06,N
02/21/2024,01:00,BUCKTHRN_RN, 2.79,N
02/21/2024,01:00,BUFF_GAP_ALL, -0.2,N
02/21/2024,01:00,BULLCRK_1_2, 0.29,N
02/21/2024,01:00,BVE_CC1, 5.35,N
02/21/2024,01:00,BVE_UNIT1, 5.35,N
02/21/2024,01:00,BVE_UNIT2, 5.35,N
02/21/2024,01:00,BVE_UNIT3, 5.35,N
02/21/2024,01:00,BYRDR_ES_ALL, 5.32,N
02/21/2024,01:00,BYU_BYU_1, 5.15,N
02/21/2024,01:00,BYU_BYU_12, 5.15,N
02/21/2024,01:00,BYU_BYU_34, 5.15,N
02/21/2024,01:00,BYU_BYU_G8, 5.15,N
02/21/2024,01:00,BYU_CC1, 5.15,N
02/21/2024,01:00,BYU_G4_RN, 5.15,N
02/21/2024,01:00,BYU_PUN1, 5.15,N
02/21/2024,01:00,BYU_PUN2, 5.15,N
02/21/2024,01:00,BYU_PUN3, 5.15,N
02/21/2024,01:00,BYU_PUN4, 5.15,N
02/21/2024,01:00,B_DAVIS_3, 1.02,N
02/21/2024,01:00,B_DAVIS_4, 1.02,N
02/21/2024,01:00,B_DAVIS_CC1, 1.02,N
02/21/2024,01:00,B_D_B_DAVIG1, 1.02,N
02/21/2024,01:00,B_D_B_DAVIG2, 1.02,N
02/21/2024,01:00,CABEZON_ALL, -32.46,N
02/21/2024,01:00,CALAVER_JKS1, 2.63,N
02/21/2024,01:00,CALAVER_JKS2, 2.63,N
02/21/2024,01:00,CALAVER_JTD1, 2.74,N
02/21/2024,01:00,CALAVER_JTD2, 2.74,N
02/21/2024,01:00,CALAVER_OWS1, 2.75,N
02/21/2024,01:00,CALAVER_OWS2, 2.75,N
02/21/2024,01:00,CALHOUN_ALL, 3.82,N
02/21/2024,01:00,CALLAHA_WND1, 0.66,N
02/21/2024,01:00,CAL_CALGT1, 5.1,N
02/21/2024,01:00,CAL_CALSTG1, 5.1,N
02/21/2024,01:00,CAL_CC1, 5.1,N
02/21/2024,01:00,CAL_PUN1, 5.1,N
02/21/2024,01:00,CAL_PUN2, 5.1,N
02/21/2024,01:00,CAMWIND_RN, -16.19,N
02/21/2024,01:00,CANYONWD_ALL, -0.05,N
02/21/2024,01:00,CAPRIDG4_CR4, -0.29,N
02/21/2024,01:00,CAPRIDGE_ALL, -0.29,N
02/21/2024,01:00,CARBN_BSP_1, 0.82,N
02/21/2024,01:00,CASL_GAP_UN1, 1.55,N
02/21/2024,01:00,CATARINA_B1, 3.89,N
02/21/2024,01:00,CBECII_89, 5.7,N
02/21/2024,01:00,CBECII_CC3, 5.7,N
02/21/2024,01:00,CBECII_CT7, 5.7,N
02/21/2024,01:00,CBEC_ALL, 6.19,N
02/21/2024,01:00,CBEC_CC1, 6.19,N
02/21/2024,01:00,CBEC_CC2, 6.19,N
02/21/2024,01:00,CBY4_ALL, 5.08,N
02/21/2024,01:00,CBY4_CC1, 5.08,N
02/21/2024,01:00,CBY_CBY_G1, 5.08,N
02/21/2024,01:00,CBY_CBY_G2, 5.09,N
02/21/2024,01:00,CCEC_CC1, -0.22,N
02/21/2024,01:00,CCEC_GT1, -0.22,N
02/21/2024,01:00,CCEC_GT2, -0.22,N
02/21/2024,01:00,CCEC_PUN1, -0.22,N
02/21/2024,01:00,CCEC_PUN2, -0.22,N
02/21/2024,01:00,CCEC_ST1, -0.22,N
02/21/2024,01:00,CEDROHI_CHW1, -9,N
02/21/2024,01:00,CEDRVALE_RN, 1.94,N
02/21/2024,01:00,CFLATS_UNIT, -0.87,N
02/21/2024,01:00,CHALUP_ALL, -16.18,N
02/21/2024,01:00,CHAL_SLR_RN, 2,N
02/21/2024,01:00,CHAMON_UN1, 5.06,N
02/21/2024,01:00,CHAMON_UN2, 5.06,N
02/21/2024,01:00,CHEDPW_GT2, 5.03,N
02/21/2024,01:00,CHE_CC1, 5.05,N
02/21/2024,01:00,CHE_LYD, 5.06,N
02/21/2024,01:00,CHE_LYD2, 5.06,N
02/21/2024,01:00,CHE_PUN1, 5.06,N
02/21/2024,01:00,CHE_PUN2, 5.06,N
02/21/2024,01:00,CHISMGRD_RN, 3.94,N
02/21/2024,01:00,CISC_RN, 1.31,N
02/21/2024,01:00,CITYVICT_ALL, 3.24,N
02/21/2024,01:00,CN_BRKS_UNT1, -0.83,N
02/21/2024,01:00,COL_COLETOG1, 1.83,N
02/21/2024,01:00,CONIGLIO_RN, 4.02,N
02/21/2024,01:00,CONTINEN_RN, -15.26,N
02/21/2024,01:00,CORALSLR_ALL, 4.02,N
02/21/2024,01:00,CORAZON_RN, -35,N
02/21/2024,01:00,COTPLNS_RN, -0.81,N
02/21/2024,01:00,COTTON_PAP2, -3.13,N
02/21/2024,01:00,COYOTSPR_RN, 1.94,N
02/21/2024,01:00,CPSES_UNIT1, 3.98,N
02/21/2024,01:00,CPSES_UNIT2, 3.98,N
02/21/2024,01:00,CRANELL_ALL, 0.2,N
02/21/2024,01:00,CRAWFISH_RN, 7.75,N
02/21/2024,01:00,CROSSETT_ALL, 1.55,N
02/21/2024,01:00,CRWN_SLR_UN1, 3.94,N
02/21/2024,01:00,CSC_CSECG1_2, -0.02,N
02/21/2024,01:00,CVC_CC1, 5.03,N
02/21/2024,01:00,CVC_CVCG1_5, 5.03,N
02/21/2024,01:00,CVC_CVC_G2, 5.03,N
02/21/2024,01:00,CVC_CVC_G3, 5.03,N
02/21/2024,01:00,DAG_ALL, 5.32,N
02/21/2024,01:00,DANSBY_ALL, 4.46,N
02/21/2024,01:00,DAN_ALL, 6.18,N
02/21/2024,01:00,DA_BESS, 5.28,N
02/21/2024,01:00,DC2SES_ALL, 3.72,N
02/21/2024,01:00,DC_E, 4.02,N
02/21/2024,01:00,DC_L, -10.97,N
02/21/2024,01:00,DC_N, -0.09,N
02/21/2024,01:00,DC_R, -15.94,N
02/21/2024,01:00,DDPEC_CC1, 5.13,N
02/21/2024,01:00,DDPEC_GT1, 5.13,N
02/21/2024,01:00,DDPEC_GT2, 5.13,N
02/21/2024,01:00,DDPEC_GT3, 5.13,N
02/21/2024,01:00,DDPEC_GT4, 5.13,N
02/21/2024,01:00,DDPEC_GT6, 5.13,N
02/21/2024,01:00,DDPEC_ST1, 5.13,N
02/21/2024,01:00,DECKER_DPG2, 3.58,N
02/21/2024,01:00,DECKER_GT, 3.58,N
02/21/2024,01:00,DENISON_G1_2, 4.01,N
02/21/2024,01:00,DERMOTT_ALL, -0.08,N
02/21/2024,01:00,DIBOL_RN, 4.13,N
02/21/2024,01:00,DIB_CC1, 5.11,N
02/21/2024,01:00,DIB_DIB_G1, 5.11,N
02/21/2024,01:00,DIB_DIB_G2, 5.11,N
02/21/2024,01:00,DIB_DIB_G3, 5.11,N
02/21/2024,01:00,DIB_DIB_G4, 5.11,N
02/21/2024,01:00,DIB_PUN1, 5.11,N
02/21/2024,01:00,DIB_PUN2, 5.11,N
02/21/2024,01:00,DILEOS_UNIT1, 3.78,N
